"Shifts Auto Primary Role","Shifts Auto Secondary Role","Shifts Auto Fuel Pct","Shifts Auto Starting Position","Shifts Auto Climb","Shifts Transition Primary Role","Shifts Transition Secondary Role","Shifts Transition Fuel Pct","Shifts Transition Defense On","Shifts Shift1 Primary Role","Shifts Shift1 Secondary Role","Shifts Shift1 Fuel Pct","Shifts Shift1 Defense On","Shifts Shift2 Primary Role","Shifts Shift2 Secondary Role","Shifts Shift2 Fuel Pct","Shifts Shift2 Defense On","Shifts Shift3 Primary Role","Shifts Shift3 Secondary Role","Shifts Shift3 Fuel Pct","Shifts Shift3 Defense On","Shifts Shift4 Primary Role","Shifts Shift4 Secondary Role","Shifts Shift4 Fuel Pct","Shifts Shift4 Defense On","Shifts Endgame Primary Role","Shifts Endgame Secondary Role","Shifts Endgame Fuel Pct","Shifts Endgame Defense On","Shifts Endgame Climb"," Id"," Hash","  V","Alliance","Createdat","Event Key","Match Key","Match Number","No Show","Overall Shooter","Overall Passer","Overall Intake","Overall Driver","Overall Defense Avoidance","Overall Defense","Overall Notes","Scouter","Team Number","Updatedat"
"Idle","None","","Hub","Not Attempted","Pass","None","","None","Pass","None","","Light","Defense","None","","None","Defense","None","","None","Pass","Defense","","None","Pass","None","","None","Not Attempted","69c84617a23b3c991702be63","d6a598a14a1d52b62125cfd17247b45e90b6c5779979dd36f01d3610345526bb","","blue","2026-03-28T21:20:23.123Z","2026mdsev","2026mdsev_qm36","36","","","3","","3","","3","Just defense and passing by pushing the ball or other robots","Snithik","339","2026-03-28T21:20:23.123Z"
"Idle","Idle","","Left Trench","Not Attempted","Intake from Neutral Zone","Pass","","None","Pass","Pass","","None","Pass","Pass","","None","Pass","None","","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69c845eba23b3c991702be5c","1c8e62343513114239c9e27cd1394489be1b1c4518bd9b4a8cff1127e7fda6f9","","red","2026-03-28T21:19:39.448Z","2026mdsev","2026mdsev_qm36","36","","","","","1","","","","Sai","2963","2026-03-28T21:19:39.448Z"
"Score","None","40","Hub","Not Attempted","Idle","Idle","","None","Intake from Neutral Zone","Pass","","None","Score","None","50","Moderate","Intake from Neutral Zone","Pass","","None","Score","Intake from Neutral Zone","40","Light","Score","None","40","None","Not Attempted","69c845e6a23b3c991702be5b","36a9f8b6a4589e191c6e59834ffcc60a362fa2fa55ab3c11ae1a80c43b837cc3","","red","2026-03-28T21:19:34.946Z","2026mdsev","2026mdsev_qm36","36","","3","3","1","3","2","","Good","Nidhish","6863","2026-03-28T21:19:34.946Z"
"Score","Score","10","Hub","Not Attempted","Pass","Pass","","None","Pass","Pass","","None","Defense","Defense","","None","Pass","Pass","","None","Defense","Defense","","None","Defense","Pass","","None","Not Attempted","69c84480a23b3c991702be1e","04e49865b77a121b4570888c1871e3ffbebf0ec2ccba93f771a5deb0ed5343dd","","red","2026-03-28T21:13:36.432Z","2026mdsev","2026mdsev_qm35","35","","","","","3","","2","","Sai","10679","2026-03-28T21:13:36.432Z"
"Score","None","","Left Bump","Not Attempted","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","None","","None","Idle","None","","None","Score","None","","None","Pass","None","","None","Not Attempted","69c84475a23b3c991702be1c","f9237e5033ef41e6bd2740c1fc84b7dd6d8a2dd097ab4ff811bb0f240a3a180a","","blue","2026-03-28T21:13:25.439Z","2026mdsev","2026mdsev_qm35","35","","1","1","1","1","","","Horrible basically did nothing shot and failed ever shot team cooked for them","Snithik","8622","2026-03-28T21:13:25.439Z"
"Score","Score","90","Right Trench","Not Attempted","Score","Score","","None","Intake from Neutral Zone","Pass","","None","Score","Score","90","Moderate","Intake from Neutral Zone","Idle","","None","Score","Score","80","Moderate","Score","Score","90","None","Not Attempted","69c843fda23b3c991702bdff","8de6c965eb8b4c5e5c561273faac49598a405cf9cbb171880ca1061855b68a9a","","blue","2026-03-28T21:11:25.028Z","2026mdsev","2026mdsev_qm35","35","","4","","4","4","2","","","KING BLUB (OFORI)","2199","2026-03-28T21:11:25.028Z"
"Score","Intake from Neutral Zone","80","Hub","Not Attempted","Intake from Neutral Zone","Score","100","None","Intake from Neutral Zone","Pass","","None","Score","None","90","Heavy","Intake from Neutral Zone","Idle","","None","Score","None","90","Heavy","Score","Score","80","None","Not Attempted","69c843eaa23b3c991702bdfd","7c443f6b86a5b6264bd5eaf7c13d231dfb52e1b5ded9699007c09687c370094a","","red","2026-03-28T21:11:06.847Z","2026mdsev","2026mdsev_qm35","35","","3","3","2","4","2","","Good","Nidhish","4541","2026-03-28T21:11:06.847Z"
"Intake from Neutral Zone","Score","50","Left Trench","Not Attempted","Score","None","","None","Pass","None","","None","Intake from Neutral Zone","None","","None","Score","None","100","None","Intake from Neutral Zone","Pass","","None","Score","None","100","None","Not Attempted","69c84064a23b3c991702bd5c","fd2bf098a446dd1e24b0303e9acf4576f3c6864090e0d10f666b3fb6030de7d7","","blue","2026-03-28T20:56:04.656Z","2026mdsev","2026mdsev_qm34","34","","2","5","2","2","","","Horrible accuracy but fast shooting speed did not get a lot of the shots in the hub","Snithik","2377","2026-03-28T20:56:04.656Z"
"Intake from Neutral Zone","Score","100","Left Trench","Not Attempted","Intake from Neutral Zone","Pass","","Moderate","Intake from Neutral Zone","Pass","","Moderate","Score","Score","70","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","40","None","Score","Intake from Neutral Zone","70","None","Not Attempted","69c83ff1a23b3c991702bd3e","68e4d9ff33aa4304a0aaa5ef911dcaecf6663cf80995fa544675213e96fe3941","","red","2026-03-28T20:54:09.319Z","2026mdsev","2026mdsev_qm34","34","","4","","4","4","","","Good team","Sai","1629","2026-03-28T20:54:09.319Z"
"Idle","Idle","","Right Trench","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Idle","Idle","","None","Defense","Defense","","None","Pass","Pass","","None","Pass","Pass","","None","Not Attempted","69c83fe0a23b3c991702bd3b","cc59b8df60e2e68118b932dad29a8cbf41d582d3e6eb24d219bd59597825685e","","blue","2026-03-28T20:53:52.935Z","2026mdsev","2026mdsev_qm34","34","","","1","","1","","1","","KING BLUB (OFORI)","11350","2026-03-28T20:53:52.935Z"
"Score","None","20","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Defense","None","","None","Pass","Defense","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Not Attempted","69c83fd7a23b3c991702bd3a","a42a486d57ceed345358899a2d567aa77c242f396de97fec58a52eee0c006f2e","","red","2026-03-28T20:53:43.684Z","2026mdsev","2026mdsev_qm34","34","","1","2","1","4","","4","Good defence","Nidhish","3714","2026-03-28T20:53:43.684Z"
"Intake from Neutral Zone","Score","","Left Trench","Not Attempted","Score","None","100","None","Intake from Neutral Zone","Pass","","None","Score","None","70","None","Intake from Neutral Zone","Pass","","None","Pass","Score","70","None","Score","None","70","None","Not Attempted","69c83e3aa23b3c991702bcf2","b2b8c565a414a3e2c61a3236bee021fbc5af59c36f7ef22273ef8bce6823088d","","blue","2026-03-28T20:46:50.116Z","2026mdsev","2026mdsev_qm33","33","","4","2","2","3","","","Got a lot of shots and points for the team not very good","Snithik","1727","2026-03-28T20:46:50.116Z"
"Intake from Neutral Zone","Score","90","Left Bump","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","90","None","Intake from Neutral Zone","Pass","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69c83e25a23b3c991702bcf0","a27c2f7659ffd254a77dfc89210f9a2aeba22284e86d6dc9933f27a2ebbc956a","","red","2026-03-28T20:46:29.343Z","2026mdsev","2026mdsev_qm33","33","","5","","5","4","","","Stupid teammates didn’t save them when they got stuck","Sai","8592","2026-03-28T20:46:29.343Z"
"Score","Score","80","Right Bump","Not Attempted","Intake from Neutral Zone","Pass","","None","Intake from Neutral Zone","Pass","","None","Score","Score","100","None","Idle","Idle","","None","Idle","Idle","10","None","Idle","Idle","10","None","Not Attempted","69c83de8a23b3c991702bcd4","a6b17940a16421a42e401a1455c5d3be811251ded0c76e47a1afeae19cc5e529","","blue","2026-03-28T20:45:28.518Z","2026mdsev","2026mdsev_qm33","33","","4","5","5","3","","","","KING BLUB (OFORI)","1418","2026-03-28T20:45:28.518Z"
"None","None","","Hub","Not Attempted","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","Not Attempted","69c83dd0a23b3c991702bccf","9e686d9e5f27613387d326cf38f62023b7777ba477245158d6b7a0ab9dd1410f","","red","2026-03-28T20:45:04.896Z","2026mdsev","2026mdsev_qm34","34","true","","","","","","","","Nidhish","3714","2026-03-28T20:45:04.896Z"
"Idle","None","","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","None","","None","Pass","None","","None","Pass","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69c83dd0a23b3c991702bcce","32eaa2abd707d709bce5e532c4d3f84f2073d91a49a7640385f3011c1a6fe7dd","","red","2026-03-28T20:45:04.471Z","2026mdsev","2026mdsev_qm33","33","","1","2","1","2","","2","Bad","Nidhish","2849","2026-03-28T20:45:04.471Z"
"Intake from Neutral Zone","Score","70","Left Trench","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Pass","Pass","","None","Score","Score","70","Moderate","Intake from Neutral Zone","Pass","","None","Score","Score","50","Heavy","Score","Score","100","None","Not Attempted","69c83d27ca9318c83cde18a5","ec908510045889a23c969c4fc2586030f30dc80c25c1069e20a0bc59348440a4","","red","2026-03-28T20:42:15.086Z","2026mdsev","2026mdsev_qm32","32","","5","","5","5","4","","Our goat Ben and our robot was carrying so close ","Sai","686","2026-03-28T20:42:15.086Z"
"Intake from Neutral Zone","Score","","Right Trench","Not Attempted","Idle","Idle","","None","Intake from Neutral Zone","Idle","","None","Score","Score","","None","Intake from Neutral Zone","Pass","","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69c83d27ca9318c83cde18a4","16e937b9cdeed28b648ecc316eeb1ac5c7dcc022a4813173be45523d3beb46cf","","red","2026-03-28T20:42:15.086Z","2026mdsev","2026mdsev_qm31","31","","1","1","1","2","","","Can’t shoot to save anything ","Sai","1111","2026-03-28T20:42:15.086Z"
"Idle","None","","Hub","Not Attempted","Idle","None","","None","Idle","None","","None","Pass","Idle","","None","Pass","None","","Moderate","Idle","None","","Light","Idle","None","","None","Not Attempted","69c83caea23b3c991702bc9f","6fbc428366c5601de8ea8dbd878695d3e3cf437d9fd22c86b838def93d601fbb","","blue","2026-03-28T20:40:14.467Z","2026mdsev","2026mdsev_qm32","32","","","","","1","","","Ideal most of the time it keeps crashing into the hub didn’t do anything else was in the way of its teammates shooting overall bad team","Snithik","2912","2026-03-28T20:40:14.467Z"
"Idle","Idle","","Left Trench","Not Attempted","Idle","Idle","","None","Idle","Idle","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Idle","10","None","Not Attempted","69c83c0ca23b3c991702bc7f","51ae6d7354b5966089bba95fbf49dd57ed9bc8bc3c9fc47948ac054a766bbb76","","blue","2026-03-28T20:37:32.066Z","2026mdsev","2026mdsev_qm32","32","","1","","","3","","3","","KING BLUB (OFORI)","1719","2026-03-28T20:37:32.066Z"
"None","None","","Hub","Not Attempted","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","Not Attempted","69c83bf3a23b3c991702bc6e","0101dde892d54dfe87c636d06e3ad946a113c4ca27a352d6ff03e809cea0aa92","","red","2026-03-28T20:37:07.401Z","2026mdsev","2026mdsev_qm33","33","true","","","","","","","","Nidhish","2849","2026-03-28T20:37:07.401Z"
"Idle","None","","Hub","Not Attempted","Score","None","20","None","Pass","None","","None","Score","None","40","None","Defense","None","","None","Defense","None","","None","Idle","Pass","","None","Not Attempted","69c83bf2a23b3c991702bc6d","8849c5a68ac7145045818118a3929257959ba8be83647cb6fbe4030e84b5dcb7","","red","2026-03-28T20:37:06.913Z","2026mdsev","2026mdsev_qm32","32","","1","2","1","4","","3","Defence and passer","Nidhish","339","2026-03-28T20:37:06.913Z"
"Intake from Neutral Zone","Score","70","Left Trench","Not Attempted","Intake from Neutral Zone","Score","100","None","Intake from Neutral Zone","None","","None","Score","None","100","None","Intake from Neutral Zone","None","","None","Score","None","90","None","Score","None","90","None","Not Attempted","69c83a37a23b3c991702bba2","ca3bb9a43cb919cebdc8ef4d822a98083aa9c33ba575cda8e276efe433912a83","","blue","2026-03-28T20:29:43.358Z","2026mdsev","2026mdsev_qm31","31","","4","","3","4","","","Great shooter horrible teammates but still one and got over a 100 points by themselves ","Snithik","9033","2026-03-28T20:29:43.423Z"
"Idle","None","","Hub","Not Attempted","Idle","None","10","None","Score","None","10","None","Pass","Intake from Neutral Zone","","None","Idle","None","","None","Intake from Neutral Zone","Pass","","None","Intake from Neutral Zone","Pass","","None","Not Attempted","69c839f0a23b3c991702bb71","33997cea6444d46a319e9a462a6499dc3f3982cf1ce058cfd391506ab289b579","","red","2026-03-28T20:28:32.761Z","2026mdsev","2026mdsev_qm31","31","","1","2","1","3","","","Passer","Nidhish","1446","2026-03-28T20:28:32.761Z"
"None","None","","Hub","Not Attempted","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","Not Attempted","69c83942a23b3c991702b511","440970f0c70d31e1e569ce58d66cf31360210319a44fef4c05c424f3d31d8016","","blue","2026-03-28T20:25:38.012Z","2026mdsev","2026mdsev_qm31","31","true","","","","","","","","KING BLUB (OFORI)","2963","2026-03-28T20:25:38.012Z"
"Idle","None","","Left Trench","Not Attempted","Pass","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Defense","None","","None","Defense","Pass","","None","Not Attempted","69c8385fa23b3c991702b39b","d5d8599579201c5ee1497caf7ad5de0e9f1958ec5013847dbdd85823ff4196da","","blue","2026-03-28T20:21:51.771Z","2026mdsev","2026mdsev_qm30","30","","","2","","4","","5","Great defense after it stopped being ideal ","Snithik","11211","2026-03-28T20:21:51.771Z"
"None","None","","Hub","Not Attempted","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","Not Attempted","69c83831a23b3c991702ae6d","b889361b9d6fb8fdd97e55779a5c151a331db83d255e22b4c593a2eec8cd6d24","","red","2026-03-28T20:21:05.853Z","2026mdsev","2026mdsev_qm31","31","true","","","","","","","","Arihan","1915","2026-03-28T20:21:05.853Z"
"Score","Score","100","Hub","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","40","None","Intake from Neutral Zone","Intake from Neutral Zone","100","Light","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","90","None","Score","Score","90","None","Not Attempted","69c8380ea23b3c991702addd","50dd048f8cfe98d0345cc9857080e56dc19215054314471d7f6ed7028ad6b699","","blue","2026-03-28T20:20:31.008Z","2026mdsev","2026mdsev_qm30","30","","4","","4","5","3","","","KING BLUB (OFORI)","614","2026-03-28T20:20:31.008Z"
"Score","Idle","30","Right Bump","Not Attempted","Idle","None","","None","Idle","None","","None","Defense","Pass","","None","Defense","None","","None","Pass","None","","None","Defense","None","","None","Not Attempted","69c837f0a23b3c991702ad63","a6c06a541d83114b10710d2b24296b788b4ea4ed13be1f0d80f8c3925e5b66cd","","red","2026-03-28T20:20:00.425Z","2026mdsev","2026mdsev_qm30","30","","2","3","1","4","","3","Defence and passer","Nidhish","10449","2026-03-28T20:20:00.425Z"
"Idle","Idle","","Hub","Not Attempted","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Intake from Neutral Zone","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69c837eea23b3c991702ad62","dc60a62c1dbed2d6268d51f6eaaa22ffc16a09f667f277f9f2e218dc3fae52fd","","red","2026-03-28T20:19:58.571Z","2026mdsev","2026mdsev_qm30","30","","","","","1","","","Just moving slightly around the same place","Sai","2914","2026-03-28T20:19:59.055Z"
"Intake from Neutral Zone","Score","40","Hub","Not Attempted","Score","Score","40","None","Intake from Neutral Zone","None","","None","Score","Score","40","None","Intake from Neutral Zone","Pass","","None","Score","Score","40","None","Score","Score","20","None","Not Attempted","69c83542a23b3c991702acae","260bb9650208fe5b5e2b0d140d611023a61aeec5dc8d256f546fcf807e12f16d","","red","2026-03-28T20:08:34.258Z","2026mdsev","2026mdsev_qm29","29","","5","2","4","4","","","","Sai","2199","2026-03-28T20:08:34.593Z"
"Intake from Neutral Zone","Score","60","Right Trench","Not Attempted","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","Score","40","None","Pass","None","","None","Intake from Neutral Zone","None","","Moderate","Idle","None","","Moderate","Idle","None","","None","Not Attempted","69c834efa23b3c991702ac9c","53e223919db8fefee55bd9d7440bf0428d23c15c95a448c68ad8752649ba5b49","","blue","2026-03-28T20:07:11.035Z","2026mdsev","2026mdsev_qm29","29","","2","","2","2","","","Got stuck on the bump at the last 30 sec of the match","Snithik","339","2026-03-28T20:07:11.035Z"
"Score","None","30","Hub","Not Attempted","Intake from Neutral Zone","Pass","","None","Score","None","40","None","Intake from Neutral Zone","Pass","","None","Pass","None","","None","Score","None","20","None","Score","None","20","None","Not Attempted","69c834dba23b3c991702ac92","6f799c3f28abe9aeedb9a80f7e55fac448f84b67e5560bec979f645046117698","","red","2026-03-28T20:06:51.967Z","2026mdsev","2026mdsev_qm29","29","","3","3","2","3","","2","Alr","Nidhish","11318","2026-03-28T20:06:51.967Z"
"Score","Score","100","Left Trench","Not Attempted","Score","Score","100","None","Score","Score","100","Light","Intake from Neutral Zone","Pass","","None","Score","Score","100","None","Intake from Neutral Zone","Intake from Neutral Zone","","Moderate","Score","Score","100","None","Not Attempted","69c834dba23b3c991702ac91","14aa2ce7992a847cdc0c7b8dcc1c48c8bdbd2651d2f7650a1ed747bd8d8e6ac9","","blue","2026-03-28T20:06:51.608Z","2026mdsev","2026mdsev_qm29","29","","5","","5","5","3","","","KING BLUB (OFORI)","836","2026-03-28T20:06:51.608Z"
